2025-03-20 18:44:31,615 - INFO - SVDT1 Time: 31/08/2023 23:38:00, Station: SVDT1, Temperature: 26.1, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 91, PM2.5: 0.9, PM10: 1.3, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:32,122 - INFO - SVDT1 Time: 31/08/2023 23:37:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 97, PM2.5: 0.7, PM10: 0.9, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:32,629 - INFO - SVDT1 Time: 31/08/2023 23:36:00, Station: SVDT1, Temperature: 26.1, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 108, PM2.5: 1, PM10: 3.6, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:33,136 - INFO - SVDT1 Time: 31/08/2023 23:35:00, Station: SVDT1, Temperature: 26.1, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 107, PM2.5: 0.6, PM10: 1, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:33,644 - INFO - SVDT1 Time: 31/08/2023 23:34:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 106, PM2.5: 0.6, PM10: 1.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:34,153 - INFO - SVDT1 Time: 31/08/2023 23:33:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 101, PM2.5: 0.4, PM10: 0.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:34,662 - INFO - SVDT1 Time: 31/08/2023 23:32:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 106, PM2.5: 0.6, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:35,171 - INFO - SVDT1 Time: 31/08/2023 23:31:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 116, PM2.5: 1.3, PM10: 3.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:35,682 - INFO - SVDT1 Time: 31/08/2023 23:30:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.8, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 135, PM2.5: 0.9, PM10: 5.3, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:36,188 - INFO - SVDT1 Time: 31/08/2023 23:29:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 111, PM2.5: 0.7, PM10: 0.7, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:36,697 - INFO - SVDT1 Time: 31/08/2023 23:28:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 113, PM2.5: 0.6, PM10: 0.7, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:37,203 - INFO - SVDT1 Time: 31/08/2023 23:27:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 104, PM2.5: 1.1, PM10: 1.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:37,713 - INFO - SVDT1 Time: 31/08/2023 23:26:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 88, PM2.5: 0.6, PM10: 1, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:38,222 - INFO - SVDT1 Time: 31/08/2023 23:25:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.7, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 95, PM2.5: 0.6, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
